Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
286		0.2235		0.8512		0.0000		0.5352		0.00003373
287		0.2245		0.8876		0.0000		0.5386		0.00003170
288		0.2224		0.8926		0.0000		0.5359		0.00002966
289		0.2233		0.8348		0.0000		0.5366		0.00002759
290		0.2222		0.8590		0.0000		0.5418		0.00002552
291		0.2227		0.8601		0.0000		0.5391		0.00002342
292		0.2208		0.8587		0.0000		0.5425		0.00002130
293		0.2202		0.8576		0.0000		0.5402		0.00001916
294		0.2202		0.8716		0.0000		0.5452		0.00001699
295		0.2202		0.8717		0.0000		0.5421		0.00001479
296		0.2196		0.8909		0.0000		0.5440		0.00001255
297		0.2198		0.8622		0.0000		0.5420		0.00001027
298		0.2195		0.8746		0.0000		0.5444		0.00000792
299		0.2191		0.8782		0.0000		0.5432		0.00000550
300		0.2186		0.8714		0.0000		0.5417		0.00000295
